егленcелер	егленcе
таcикçе	таcикçе
иcаткâрлардан	иcаткâр
меркезине	меркез
османлылар	османлы
бöлме	бöл
бöлме	бöл
бöлме	бöлме
қыдырмаğа	қыдыр
емин	емин
вақиаларына	вақиа
коллективизатсийа	коллективизатсийа
файдаланды	файдалан
клuбuнда	клuб
парламентке	парламент
иşиткенимден	еşит
öгге	öг
грuппадан	грuппа
ойнады	ойна
тuта	тuт
тuта	тuт
харитасыны	харита
файдаланылыр	файдалан
файдаланылыр	файдалан
файдаланылыр	файдалан
тиллерине	тил
мuсафирниң	мuсафир
категорийаларда	категорийа
uçаğыны	uçақ
uйездиниң	uйезд
тасилиниң	тасил
uçаққа	uçақ
uрuşтан	uрuş
кâинат	кâинат
алманcа	алман
алманcа	алманcа
алманcа	алманcа
мимарий	мимарий
тенқит	тенқит
сықыşтырылğан	сықыşтыр
сықыşтырылğан	сықыşтыр
сықыşтырылğан	сықыşтыр
сықыşтырылğан	сықыşтыр
майор	майор
сенелерден	сене
çалмаздан	çал
фырсат	фырсат
мuаллими	мuаллим
пийаноğа	пийано
сайты	сайт
классики	классик
бирлеşмесине	бирлеş
бирлеşмесине	бирлеşме
обйектив	обйектив
тüркü	тüрк
тüркü	тüркü
тüркü	тüрк
тüркü	тüрк
тüркü	тüркü
мейданлыққа	мейданлық
китапханениң	китапхане
мüдири	мüдир
оğланны	оğлан
таşламақ	таşла
диссертатсийасы	диссертатсийа
тuризмден	тuризм
öлüминиң	öлüм
океанларына	океан
басыла	бас
басыла	бас
инсанийетлик	инсанийетлик
тедавийленген	тедавийлен
тедавийленген	тедавийлен
тедавийленген	тедавийлен
тедавийленген	тедавийлен
албомы	албом
мемuарлар	мемuарлар
контрол	контрол
айта	айт
айта	айт
еттирмек	еттир
çеккенлеринден	çек
океандан	океан
османлыcа	османлы
мüддеттен	мüддет
кедер	кедер
çевирмеге	çевир
йаşлықның	йаşлық
батыл	бат
бuлuнğаныны	бuлuн
мевзuларынен	мевзu
сахрасы	сахра
беcерикли	беcерикли
cедвелни	cедвел
балаларны	бала
üстüне	üст
евден	ев
зuлüм	зuлüм
мuнасебетлер	мuнасебет
баşында	баş
оğраşқаны	оğра
йапылмаз	йап
йапылмаз	йапыл
йапылмаз	йап
йапылмаз	йапыл
кöтермек	кöтер
оптикий	оптикий
тақиқатçы	тақиқатçы
дерсликлерини	дерслик
физика	физика
йолбаşçылыğының	йолбаşçылық
селâмым	селâм
баба	баба
иман	иман
гемиси	геми
парламентинен	парламент
беген	беген
иşğал	иşğал
аçыла	аç
аçыла	аç
еттирилди	еттир
заводлары	завод
органларğа	орган
асылзаделер	асылзаде
евлерине	ев
хucuр	хucuр
нüмüнелерини	нüмüне
сайланалар	сайла
дестанларындан	дестан
дипломыны	диплом
қабилесиниң	қабиле
uран	uран
üкüметлериниң	üкüмет
и̇нститuты	инститuт
телüкесинен	телüке
газетасыны	газета
битмесинен	бит
миллетимизни	миллет
йарымадаğа	йарымада
и̇клими	иклим
намы	нам
техникuмы	техникuм
cеннетине	cеннет
олuнмақ	ол
мüессисе	мüессисе
қuлланылаcақ	қuллан
қuлланылаcақ	қuллан
қuлланылаcақ	қuллан
қuйuларына	қuйu
елифбеси	елифбе
табиатының	табиат
икâйелеринде	икâйе
қuветлери	қuвет
категотийасында	категотийа
доğрuдан	доğрuдан
мuдафаасына	мuдафаа
çайпамақ	çайпа
имкâны	имкâн
тертип	тертип
вазифелеринде	вазифе
олмаğаны	ол
исси	исси
сüлâлелер	сüлâле
басымы	басым
лейтенанты	лейтенант
сuвны	сuв
зuлuмğа	зuлuм
şекилленüвинен	şекиллен
қабилелер	қабиле
йевроның	йевро
етим	ет
cылт	cылт
оğuл	оğuл
кüçüни	кüç
контакт	контакт
ватанымызда	ватан
мезарына	мезар
топрақларğа	топрақ
öткериcи	öткер
материаллар	материал
кеçмейcек	кеç
кеçмейcек	кеç
кеçмейcек	кеç
сыныфта	сыныф
зийаретине	зийарет
олмасының	ол
дениле	денил
дениле	денил
неşрийатта	неşрийат
cиан	cиан
оқuй	оқu
оқuй	оқu
даğлық	даğлық
радиосы	радио
кетирмеге	кетир
илванлар	илван
генçлерини	генç
исимге	исим
оğраşқан	оğра
оğраşқан	оğра
оğраşқан	оğра
оğраşқан	оğра
кöрмегени	кöр
терcиме	терcиме
вазийетниң	вазийет
сüлâлелерни	сüлâле
бақасың	бақ
öсмüрлерни	öсмüр
олаcақ	ол
олаcақ	ол
олаcақ	ол
батқандан	бат
йаратылып	йарат
йаратылып	йарат
парçалар	парçа
қоşuлып	қоş
қоşuлып	қоş
намuс	намuс
корейалылар	корейалы
терcиман	терcиман
аилесинден	аиле
мüхбир	мüхбир
нақлий	нақлий
генçликке	генçлик
мектüплеşе	мектüплеş
мектüплеşе	мектüплеş
йолақ	йолақ
пйесаларыны	пйеса
профессорлардан	профессор
баар	баар
теşеккüл	теşеккüл
миллетçилик	миллетçилик
мектüплер	мектüп
üйле	üйле
çевирилгенден	çевир
теңеşтирем	теңеşтир
сесини	сес
тöпеси	тöпе
тöпеси	тöпеси
қалеми	қалем
ханениң	хане
байрамларда	байрам
тuвğанлары	тuв
тuвğанлары	тuвğан
сийасетçиси	сийасетçи
реислигини	реислик
емринен	емир
киşинен	киşи
октâбр	октâбр
еттирмеге	еттир
сüргüнликке	сüргüнлик
оcаларğа	оcа
болşевиклер	болşевик
кеçкен	кеç
кеçкен	кеç
кеçкен	кеç
кеçкен	кеç
маcарcа	маcар
öтмек	öтмек
инститuтларда	инститuт
кöстериş	кöстер
қuрма	қuр
қuрма	қuр
кöşеге	кöşе
орманы	орман
кöйдеşлерине	кöйдеş
мuкâфатнен	мuкâфат
евлерде	ев
тақиқатçылары	тақиқатçы
қамаçавда	қамаçав
дернеги	дернек
иcраcының	иcраcы
парламент	парламент
öлдüрген	öлдüр
öлдüрген	öлдüр
öлдüрген	öлдüрген
öлдüрген	öлдüр
öлдüрген	öлдüр
кергинлеşе	кергинлеş
кергинлеşе	кергинлеş
корuма	кор
корuма	корu
корuма	корu
бöлüктен	бöлüк
оқuлğан	оқu
оқuлğан	оқu
оқuлğан	оқu
оқuлğан	оқu
мевқи	мевқи
йоллай	йолла
йоллай	йолла
йаşамай	йаşа
йаşамай	йаşа
теркип	теркип
биналарынен	бина
инститuтыны	инститuт
текрар	текрар
текрар	текрар
кеçирирлер	кеçир
себепçи	себепçи
адландырыла	адландыр
адландырыла	адландыр
алтына	алт
балавuз	балавuз
илимниң	ил
илимниң	илим
йасақланğан	йасақлан
йасақланğан	йасақлан
йасақланğан	йасақлан
йасақланğан	йасақлан
авалесинен	авале
комитетлери	комитет
бирлеşтирип	бирлеşтир
бирлеşтирип	бирлеşтир
топçu	топçu
йаşайыşы	йаşайыş
раатланмақ	раатлан
кüл	кüл
кüл	кüл
доğuрыр	доğuр
доğuрыр	доğuр
доğuрыр	доğuр
тамырдан	тамыр
районларында	район
теренлигине	теренлик
қытаның	қыта
ортақ	ортақ
şеадетнамеси	şеадетнаме
ортақлаşа	ортақлаş
ортақлаşа	ортақлаş
қайтарğан	қайтар
қайтарğан	қайтар
қайтарğан	қайтар
қайтарğан	қайтар
гuбернийаларына	гuбернийа
қойu	қой
океанларğа	океан
вокзалы	вокзал
тuрмuşы	тuрмuş
бüйüк	бüйüк
меркезинде	меркез
кüндоğuş	кüндоğuş
тарафларны	тараф
зарардан	зарар
оğuллары	оğuл
қалынлыğы	қалынлық
инанылğан	инан
инанылğан	инан
инанылğан	инан
инанылğан	инан
топлаğан	топла
топлаğан	топла
топлаğан	топла
топлаğан	топла
öлü	öлü
егленирлер	еглен
йалыларыны	йалы
арарети	арарет
силиндилер	сил
йерине	йер
каталог	каталог
идаре	идаре
йайынында	йайын
бüйüкликке	бüйüклик
дерси	дерс
темсилcилигинен	темсилcилик
терминологийа	терминологийа
евлийа	евлийа
ücüмге	ücüм
инсанларны	инсан
еттирди	еттир
маддий	маддий
қuсuрлары	қuсuр
елйазма	елйазма
қuтuбы	қuтuп
çöллеринде	çöл
стратегик	стратегик
аваның	ава
аваның	аван
қатында	қат
етилдилер	ет
етилдилер	етил
қонuşқан	қон
қонuşқан	қон
қонuşқан	қонuş
қонuşқан	қонuş
қонuşқан	қон
қонuşқан	қонuş
қонuşқан	қон
қонuşқан	қонuş
мuзыкасы	мuзыка
сыңырындан	сыңыр
аталар	ат
аталар	ата
аст	аст
uнuтмайарақ	uнuт
сессийасында	сессийа
соқақтан	соқақ
şеффаф	şеффаф
прокuратuрасында	прокuратuра
зан	зан
меркезини	меркез
протсесс	протсесс
қырымçақлар	қырымçақ
сыğмаз	сыğ
сыğмаз	сыğ
дил	дил
сыçрама	сыçра
сыçрама	сыçра
исвиçрели	исвиçрели
üмüт	üмüт
şиирлеринде	şиир
намuсымыз	намuс
фирмасында	фирма
uсталықны	uсталық
оğраşқанларның	оğра
тuтқаны	тuт
йыл	йыл
девир	девир
девир	девир
бuлuныр	бuлuн
бuлuныр	бuлuн
бuлuныр	бuлuн
қавимлериниң	қавим
асылзаделерни	асылзаде
öзенде	öзен
стuденти	стuдент
şарқның	şарқ
кеçер	кеç
кеçер	кеç
кеçер	кеç
тақдирине	тақдир
сыңыр	сыңыр
йанаşмадылар	йанаş
миллетлер	миллет
ендесе	ендесе
қыпçақ	қыпçақ
йерде	йер
бöреклер	бöрек
бuйрuқ	бuйрuқ
сöзлерде	сöз
çеçек	çеçек
гривна	гривна
терен	терен
тамири	тамир
қuрşuн	қuрşuн
вucuтны	вucuт
мuқавелеси	мuқавеле
йана	йан
йана	йан
мuкâфатында	мuкâфат
адамлары	адам
cемаатқа	cемаат
cиварына	cивар
сейирcилерини	сейирcи
етилüв	ет
етилüв	етил
пйесалардан	пйеса
таşлайcаğыны	таşла
интернетте	интернет
üрметке	üрмет
адий	адий
сüннийлик	сüннийлик
мектеплерде	мектеп
намзети	намзет
кöşе	кöşе
бирликте	бирлик
йüксеклиги	йüксеклик
емирлери	емир
çаğырылды	çаğыр
тöкüле	тöк
тöкüле	тöкüл
тöкüле	тöк
тöкüле	тöкüл
имзаланды	имзала
йылдызы	йылдыз
бейиниң	бей
и̇рмақлар	ирмақ
повестини	повест
севдалық	севдалық
қамере	қамере
йазылары	йазы
и̇слâмда	и̇слâм
и̇слâмда	ислâм
uсuлларына	uсuл
билирсиңиз	бил
истеген	исте
истеген	исте
истеген	исте
истеген	исте
азат	азат
фаалийетинен	фаалийет
есасланып	есаслан
есасланып	есаслан
сöзüни	сöз
нетиcеленген	нетиcелен
нетиcеленген	нетиcелен
нетиcеленген	нетиcелен
нетиcеленген	нетиcелен
сарайларында	сарай
нетиcесине	нетиcе
дuаларны	дuа
романларыны	роман
öглеринде	öг
қалем	қале
қалем	қалем
йатты	йат
финанс	финанс
şаşырğан	şаşыр
şаşырğан	şаşыр
şаşырğан	şаşырğан
şаşырğан	şаşыр
şаşырğан	şаşыр
планлаşтырğан	планлаşтыр
планлаşтырğан	планлаşтыр
планлаşтырğан	планлаşтыр
планлаşтырğан	планлаşтыр
имкâныны	имкâн
повест	повест
бирлик	бирлик
меcмuасына	меcмuа
сыcақ	сыcақ
ом	ом
бабамның	баба
албомның	албом
сüргüнлигиниң	сüргüнлик
қалемини	қалем
сенелик	сенелик
бостанcы	бостанcы
себеплеринден	себеп
хызметлер	хызмет
қадынлардан	қадын
фаşист	фаşист
оğраşмай	оğра
оğраşмай	оğра
дернек	дернек
мüитниң	мüит
хазине	хазине
қызларына	қыз
вақтынcа	вақыт
вақтынcа	вақтынcа
йетти	йет
şей	şей
сайламаğа	сайла
дегериниң	дегер
дерслик	дерслик
қавим	қавим
мuзыкасының	мuзыка
есасланğан	есаслан
есасланğан	есаслан
есасланğан	есаслан
есасланğан	есаслан
cемийетлерни	cемийет
пайтахтынен	пайтахт
намзетлери	намзет
қысымлардан	қысым
вазгеçмекни	вазгеç
иcретçилерни	иcретçи
севип	сев
севип	сев
телеканалы	телеканал
дест	дест
мирасçысы	мирасçы
истей	исте
истей	исте
мüддетине	мüддет
тақдими	тақдим
сuиқастнен	сuиқаст
гала	гала
медений	медений
şаирлери	şаир
сийасетини	сийасет
вефатының	вефат
қuрu	қuрu
мейва	мейва
сеййареси	сеййаре
мейданы	мейдан
мерақ	мерақ
оğuрлы	оğuрлы
неşе	неşе
китапларыны	китап
тапылмаğанындан	тап
şииринде	şиир
оcаларнен	оcа
şиирийети	şиирийет
бойсuнuв	бойсuн
азырланğан	азырла
азырланğан	азырла
азырланğан	азырла
азырланğан	азырла
қытасы	қыта
çил	çил
бербат	бербат
ебедийлеşтирди	ебедийлеşтир
ханымда	хан
рuсларğа	рuс
йоллап	йолла
йоллап	йолла
оң	оң
кöрüşмек	кöр
қар	қар
дининден	дин
сабасына	саба
ибарелерниң	ибаре
сейран	сейран
çеşитлери	çеşит
марuзанен	марuза
себеби	себеп
кетирилüвиниң	кетир
федератсийасы	федератсийа
çаğырuв	çаğыр
билмеси	бил
қайтарылмады	қайтар
şüбе	şüбе
қаве	қаве
хuрафат	хuрафат
аса	аса
йерлеşüви	йерлеş
назир	назир
йетиşкен	йет
йетиşкен	йет
йетиşкен	йетиşкен
йетиşкен	йет
йетиşкен	йет
баğларыны	баğ
баğларыны	баğлар
йолбаşçымыз	йолбаşçы
талапларына	талап
етерек	ет
йарарлықлары	йарарлық
кüреşте	кüреş
сöзлери	сöз
йаşай	йаşа
йаşай	йаşа
заманлар	заман
қазанç	қазанç
cемийетлери	cемийет
баğçасы	баğçа
йазылмақта	йаз
кöстерилген	кöстер
кöстерилген	кöстер
кöстерилген	кöстер
кöстерилген	кöстер
форматында	формат
менсüп	менсüп
кöлемде	кöлем
символлары	символ
гüрдели	гüрдели
османлыларğа	османлы
лексикасының	лексика
йаңылықлар	йаңылық
мuстақиллигини	мuстақиллик
қардаşларыма	қардаş
кирмеге	кир
öлдüрип	öлдüр
öлдüрип	öлдüр
қалелерини	қале
вазифеси	вазифе
топланмасынен	топла
кüркçüлер	кüркçü
кüтлевийлеşтирилмеси	кüтлевийлеşтир
ренкте	ренк
кöйлерини	кöй
иcретниң	иcрет
вирüс	вирüс
şивеси	şиве
етиңиз	ет
етиңиз	ет
истиқаметте	истиқамет
деде	деде
незарет	незарет
реиси	реис
мемuрларның	мемuр
қuртuлды	қuртuл
сарфы	сарф
билгенлерниң	бил
реисини	реис
кирсетилмеген	кирсет
кирсетилмеген	кирсет
кирсетилмеген	кирсет
кирсетилмеген	кирсет
естетика	естетика
ханыны	хан
доğuв	доğ
ğыйабий	ğыйабий
вариантларда	вариант
махсuллар	махсuл
комиссийа	комиссийа
олuна	ол
олuна	ол
çырмавuқ	çырмавuқ
акимийети	акимийет
тиллери	тил
хорлuқтан	хорлuқ
еткенлерини	ет
дерсликлерде	дерслик
йолuны	йол
радасына	рада
мезарларының	мезар
сақланмасы	сақла
инсанлыққа	инсанлық
сеферлерге	сефер
cиварында	cивар
üлкеде	üлке
орманда	орман
қайаның	қайа
тuтuлğан	тuт
тuтuлğан	тuт
тuтuлğан	тuтuл
тuтuлğан	тuтuл
тuтuлğан	тuт
тuтuлğан	тuтuл
тuтuлğан	тuт
тuтuлğан	тuтuл
йараланып	йаралан
йараланып	йаралан
фырқаның	фырқа
мыşық	мыşық
дüнйа	дüнйа
икâйелериниң	икâйе
оператсийасы	оператсийа
öйле	öйле
öйле	öйле
дuşманлық	дuşманлық
аскерлерге	аскер
билинген	бил
билинген	бил
билинген	бил
билинген	бил
клuбның	клuб
қысқартылğан	қысқартылğан
малик	малик
динлер	дин
билдирилген	билдир
билдирилген	билдир
билдирилген	билдир
билдирилген	билдир
еалилерине	еали
қанuнларğа	қанuн
йаşамаğа	йаşа
çалыşмаларğа	çал
çалыşмаларğа	çалыş
едебийат	едебийат
ейкелтраş	ейкелтраş
американ	американ
еййет	еййет
cемааты	cемаат
вақианы	вақиа
сайлана	сайла
сайлана	сайла
қаçарақ	қаç
çалыşмаğа	çал
çалыşмаğа	çалыş
üмüтлерге	üмüт
боğазы	боğаз
кесилмесиниң	кесил
даğлары	даğ
соңра	соңра
бестекâрлар	бестекâр
кöçкенлерниң	кöç
тынuвындан	тын
ерик	ерик
темелини	темел
миллий	миллий
техник	техник
қабилелерни	қабиле
даветинен	давет
тесири	тесир
кüлкüнçли	кüлкüнçли
бойларында	бой
бой	бой
радиосындан	радио
uзuнлықларда	uзuнлық
папазы	папаз
оқuвны	оқu
оқuвны	оқuв
йазысы	йазы
кöçмек	кöç
меденийетни	меденийет
балалыğы	балалық
хораз	хораз
олğаныны	ол
стратегийаны	стратегийа
çuваşлар	çuваş
сüтü	сüт
қалесини	қале
öлüмден	öлü
öлüмден	öлüм
şаирлерине	şаир
йанды	йан
сайлавларның	сайла
сайлавларның	сайлав
şақаларны	şақа
çықарğанлар	çықар
çықарğанлар	çықар
öсüв	öс
татарларындан	татар
тамğалары	тамğа
şиирден	şиир
йырларыны	йыр
тантаналар	тантана
маарифи	маариф
директор	директор
депuтатлардан	депuтат
соқаğы	соқақ
şеериниң	şеер
назарийесиниң	назарийе
сайлавлары	сайла
сайлавлары	сайлав
пройектлерине	пройект
кооператсийасы	кооператсийа
мабет	мабет
тефтиş	тефтиş
тuccарына	тuccар
итаатында	итаат
сарайğа	сарай
şанына	şан
литсейде	литсей
видео	видео
вақиалар	вақиа
топрақларында	топрақ
йерлеşтик	йерлеş
йерлеşтик	йерлеş
и̇кâйелер	икâйе
теңеşтирилген	теңеşтир
теңеşтирилген	теңеşтир
теңеşтирилген	теңеşтир
теңеşтирилген	теңеşтир
иşке	иş
кâğыт	кâğыт
қытасының	қыта
üслüплерниң	üслüп
статuсына	статuс
газетасында	газета
şеерлерге	şеер
файдаланылды	файдалан
аллы-тақатлы	аллы-тақатлы
öгренилгени	öгрен
кезинти	кезинти
етилгениниң	ет
етилгениниң	етил
cенкке	cенк
ортодокс	ортодокс
аиледе	аиле
фuртuна	фuртuна
лuğатлар	лuğат
қараманлары	қараман
теşкилâтларның	теşкилâт
öткерген	öткер
öткерген	öткер
öткерген	öткер
öткерген	öткер
диңлегенде	диңле
қоşмалар	қоş
қанuнлар	қанuн
şиарлар	şиар
uрuşлары	uрuş
еткенлерине	ет
малы	мал
невбетлеşме	невбетлеş
невбетлеşме	невбетлеş
есирликте	есирлик
темсил	темсил
кириşти	кир
кириşти	кириş
йарымадасы	йарымада
маcар	маcар
босаğаларының	босаğа
стuдентлер	стuдент
имзаламаğа	имзала
üст	üст
мебuс	мебuс
сüлâлелерден	сüлâле
йақынлық	йақынлық
тикленüви	тикле
тикленüви	тиклен
хан	хан
çықарылмасында	çықар
тедавийленмек	тедавийлен
назарыны	назар
қазақларнен	қазақ
мüневерлериниң	мüневер
мüневерлериниң	мüневерлер
cuмхuрийетлеринден	cuмхuрийет
хайалларыны	хайал
йерлерниң	йер
деңизинде	деңиз
хuбuбат	хuбuбат
телüкесизликниң	телüкесизлик
телâффuзы	телâффuз
şиркетлери	şиркет
сарымында	сарым
себебини	себеп
ес	ес
мемuрларны	мемuр
аğлама	аğла
аğлама	аğла
консерва	консерва
еминликнен	еминлик
еминликнен	еминликнен
ексиле	ексил
ексиле	ексил
констрuктсийа	констрuктсийа
uрuşқан	uр
uрuşқан	uр
uрuşқан	uрuş
uрuşқан	uрuş
uрuşқан	uр
uрuşқан	uрuş
uрuşқан	uр
uрuşқан	uрuş
пеşин	пеşин
миллетимизниң	миллет
қапатылğан	қапат
қапатылğан	қапат
қапатылğан	қапат
қапатылğан	қапат
кöреcек	кöр
кöреcек	кöр
кöреcек	кöр
қапатты	қапат
диний	диний
еşиткен	еşит
еşиткен	еşит
еşиткен	еşит
еşиткен	еşит
меcбuрий	меcбuрий
ханларына	хан
донu	дон
бизнеси	бизнес
йеңилип	йең
йеңилип	йең
çевресине	çевре
қuралар	қuр
динлериниң	дин
назирлер	назир
парçаларны	парçа
хызметлерде	хызмет
қардаş	қардаş
соңuнен	соң
соңuнен	соңu
йалысындан	йалы
сатылыр	сат
сатылыр	сат
сатылыр	сатыл
сатылыр	сатыл
сатылыр	сат
сатылыр	сатыл
серлевасынен	серлева
кöйлеринден	кöй
регионларында	регион
етмекте	ет
етмекте	ет
сене	сене
орбита	орбита
фааллик	фааллик
мезарыны	мезар
иклимине	иклим
грuппасындан	грuппа
марşрuты	марşрuт
илк	илк
мавы	мавы
блок	блок
бергиден	берги
қавuşмаğа	қавuş
профессор	профессор
кöзге	кöз
танылды	таны
танылды	таныл
ихтисасының	ихтисас
евлеринден	ев
меркез	меркез
cемийетлерниң	cемийет
азалары	аза
рессамы	рессам
сüлâлелерниң	сüлâле
вақытларында	вақыт
атылмақ	ат
йетиşмей	йет
йетиşмей	йет
президентиниң	президент
сöндüрмемеге	сöндüр
сейаатлар	сейаат
файдаланыла	файдалан
файдаланыла	файдалан
прокuратuрасыны	прокuратuра
оğрады	оğра
мадделерниң	мадде
тарлық	тарлық
районына	район
геcелернен	геcе
баğçаларда	баğçа
илимге	илим
радиода	радио
қырал	қырал
еййетиниң	еййет
азам	аза
назарына	назар
кереклигине	кереклик
оcақларында	оcақ
қарыşuв	қарыş
кöстермек	кöстер
етмелери	ет
қоşuлмаса	қоş
қоşuлмаса	қоş
кuрсқа	кuрс
зийалылары	зийалы
мемuрий	мемuрий
дüлгери	дüлгер
базыда	базыда
даğcының	даğcы
зенгинлеşе	зенгинлеş
зенгинлеşе	зенгинлеş
қырымтатарcаğа	қырымтатарcа
давасыны	дава
оқuğан	оқu
оқuğан	оқu
оқuğан	оқu
оқuğан	оқu
собор	собор
беклейлер	бекле
вилâйетинде	вилâйет
идарени	идаре
сüйрü	сüйрü
кересинде	кере
хuсuсларыны	хuсuс
мuсафирликке	мuсафирлик
йардымлаşuв	йардымлаş
мüтеşем	мüтеşем
тесирлери	тесир
халқ	халқ
йазар	йазар
лейхалар	лейха
иşтиракçилеринден	иşтиракçи
абиделеринден	абиде
девлетçилигиниң	девлетçилик
теcрибесини	теcрибе
йақты	йақ
грuппаларда	грuппа
juрналистлер	juрналист
тахталар	тахта
сентâбрден	сентâбр
üкüметлерини	üкüмет
хадими	хадим
теşеббüс	теşеббüс
тарафынен	тараф
адвокат	адвокат
аşк	аşк
седасы	седа
декабр	декабр
öг	öг
баğçада	баğçа
истилâсыны	истилâ
бuзқыран	бuзқыран
балықçылар	балықçы
сатып	сат
сатып	сат
парламентиниң	парламент
марşрuт	марşрuт
авuç	авuç
йалдызлы	йалдызлы
фырқасына	фырқа
şарқта	şарқ
фuртuналар	фuртuна
uниверситет	uниверситет
дuдаğынен	дuдақ
беклемекте	бекле
беклемекте	бекле
ğайелери	ğайе
деген	де
деген	де
деген	де
деген	де
диққат	диққат
зыддийет	зыддийет
еслетме	еслетме
ойuнларыны	ойuн
елине	ел
мектеплеринде	мектеп
фабрикасыны	фабрика
татарым	татар
беледийе	беледийе
тақыр	тақыр
и̇лк	илк
сеферни	сефер
ноğайğа	ноğай
манзuм	манзuм
çалыşuвынен	çал
çалыşuвынен	çалыş
давuлы	давuл
кöçмесине	кöç
граjдан	граjдан
граjдан	граjдан
икâйеcиси	икâйеcи
jандармерийада	jандармерийа
баğ	баğ
cенкиниң	cенк
инşааты	инşаат
истидат	истидат
бöлüм	бöлüм
италийалылар	италийалы
меркезге	меркез
йерлерине	йер
ислâм	ислâм
тахтқа	тахт
мuнасебетлерниң	мuнасебет
йете	йет
йете	йет
тüркüнде	тüрк
тиклеп	тикле
тиклеп	тикле
cинайетлерниң	cинайет
факuлтетинде	факuлтет
манифест	манифест
